 ID,Urban,Region
420116201,315000,201217500
420117401,67500,33390000
420112400,202500,93330000
420115404,382500,175095000
420116200,405000,173610000
420114200,405000,143302500
420116100,405000,140400000
420111205,90000,30960000
420116006,765000,216472500
420117110,630000,102397500
420116103,1102500,173250000
420117402,112500,16965000
420117103,990000,142087500
420115204,1912500,249907500
420117109,652500,79042500
420117102,1417500,160470000
420114100,517500,57982500
420116104,2002500,218137500
420115100,855000,91080000
420117111,540000,57352500
420117107,1170000,116955000
420116002,1597500,155340000
420116004,1440000,132187500
420114400,247500,22342500
420114004,2295000,180697500
420115101,1777500,107100000
420114003,1485000,75802500
420114101,1012500,51300000
420112405,1395000,61357500
420113003,1305000,52515000
420113004,2182500,80010000
420117108,5782500,190732500
420116007,2272500,70200000
420116105,2092500,54112500
420115003,6727500,164182500
420114006,3262500,78930000
420113002,3240000,76117500
420116102,6765256,153900000
420115002,13432500,252472500
420117100,7537500,106425000
420115005,9180000,127102500
420117104,6251564,85702500
420112402,5129905,67747500
420115103,6553170,83025000
420111101,3735000,45045000
420116001,12735000,144472500
420116003,8865000,98370000
420115087,9292500,99877500
420114005,8077500,78660000
420112410,6322500,57892500
420114002,13815000,121657500
420115007,19147500,163552500
420112421,2025000,16425000
420114071,12780000,100777500
420115206,12088473,92610000
420111100,8685000,66127500
420111203,11700000,86760000
420116008,11137500,82035000
420112420,6367500,40477500
420117101,31500000,195480000
420112408,4297500,25920000
420111204,8865000,52065000
420114001,17617500,91125000
420113001,15862500,78457500
420115400,2645749,12870000
420116005,33435000,156825000
420117105,26005395,116482500
420116101,20375421,85747500
420115006,47655000,196447500
420112403,14384106,55597500
420115001,53730000,203400000
420111202,23242500,85500000
420112419,5737500,20722500
420117106,17790938,60457500
420112100,20554780,48105000
420111002,102150000,206730000
420114070,48802500,90427500
420105000,63292500,111622500
420102000,48127500,80257500
420107000,41197500,57060000
420106000,49188519,64687500
420112422,3240000,3712500
420104000,35797500,40072500
420103000,27088100,28282500
420112418,4162500,4275000
